task_code,instrument_code,article_ref,notes_short
DEV_001,NO_LEGAL_BASIS,,"Library control task (no direct legal basis)."
DEV_002,GR_LAW_4014_2011,Art1,"Category framework and environmental permitting basis."
DEV_003,NO_LEGAL_BASIS,,"Siting screen is a governance control; anchors vary by project."
DEV_004,NO_LEGAL_BASIS,,"Constraint identification is a governance control; anchors vary by location."
DEV_005,GR_LAW_998_1979,,"Forest protection framework; triggers forest authority acts."
DEV_006,GR_LAW_3028_2002,,"Cultural heritage/antiquities approvals."
DEV_007,NO_LEGAL_BASIS,,"Fast-track confirmation is a governance control; depends on applicable instrument."
ENV_010,GR_LAW_4014_2011,Art1,"Environmental regime traceability record."
ENV_011,GR_LAW_4014_2011,Art10,"Natura linkage to appropriate assessment."
ENV_012,GR_LAW_4014_2011,Art10,"Manage EOA review loop."
ENV_013,GR_LAW_4014_2011,Art1,"Exemption documented within EIA framework context."
ENV_020,GR_LAW_4014_2011,Art3,"AEPO dossier preparation anchored to AEPO procedure."
ENV_021,GR_LAW_4014_2011,Art3,"AEPO submission step."
ENV_022,GR_LAW_4014_2011,Art3,"Consultation/opinion collection windows."
ENV_023,GR_LAW_4014_2011,Art19a,"Publication/service evidence for AEPO (where required)."
ENV_024,GR_LAW_4014_2011,Art3,"AEPO conditions integration as enforceable terms."
ENV_030,GR_LAW_4014_2011,Art8,"PPD regime obligations."
ENV_031,GR_LAW_4014_2011,Art8,"PPD regime obligations."
ENV_032,GR_LAW_4014_2011,Art8,"PPD notification/publication record where required."
LIC_040,NO_LEGAL_BASIS,,"Energy licensing depends on current RAAEY framework; add anchors per profile."
LIC_041,NO_LEGAL_BASIS,,"Energy licensing depends on current RAAEY framework; add anchors per profile."
LIC_042,NO_LEGAL_BASIS,,"Energy licensing depends on current RAAEY framework; add anchors per profile."
GRID_050,GR_RAE_DEC_395_2016,,"Distribution code selection; or transmission code if ADMIE."
GRID_051,NO_LEGAL_BASIS,,"Priority framework depends on current ministerial decisions; add anchors per profile."
GRID_052,GR_RAE_DEC_395_2016,,"DEDDHE process within distribution code context."
GRID_053,GR_RAE_DEC_57_2012,,"ADMIE process within transmission code context."
GRID_054,NO_LEGAL_BASIS,,"Storage offer procedure depends on current instruments; add anchors per profile."
GRID_055,GR_RAE_DEC_395_2016,,"Studies/clarifications under applicable grid code."
GRID_056,GR_RAE_DEC_395_2016,,"Final offer acceptance under applicable framework."
GRID_057,NO_LEGAL_BASIS,,"Guarantees posting governed by offer terms / templates."
GRID_058,GR_RAE_DEC_395_2016,,"Connection agreement governance under applicable grid code."
GRID_059,NO_LEGAL_BASIS,,"Connection works governed by agreement; may have permitting anchors."
GRID_060,GR_RAE_DEC_395_2016,,"Tests/energization/acceptance under grid code."
CONSTR_070,GR_LAW_4495_2017,,"Building/works permit framework."
CONSTR_071,GR_PD_305_1996,,"Construction site H&S obligations."
CONSTR_072,NO_LEGAL_BASIS,,"Execution governance control; contract and permit conditions drive."
COMM_080,NO_LEGAL_BASIS,,"Commissioning closeout governed by operator procedures and contracts."
OPER_090,GR_RAE_DEC_395_2016,,"Ongoing compliance under applicable grid code."
OPER_091,NO_LEGAL_BASIS,,"Market compliance depends on participation model; add anchors per profile."
OPER_093,NO_LEGAL_BASIS,,"Non-grid/islanded compliance depends on local requirements."
ADMIN_095,GR_LAW_2690_1999,,"Administrative procedure deadlines/silence windows tracking."
MOD_100,GR_LAW_4014_2011,,"Environmental modification screening anchored to EIA framework."
MOD_101,NO_LEGAL_BASIS,,"Grid modification screening depends on operator rules/offer."
MOD_102,NO_LEGAL_BASIS,,"Producer certificate update depends on current regulator framework."
DECOM_110,NO_LEGAL_BASIS,,"Decommissioning planning governance control; add waste-law anchors per profile."
DECOM_111,NO_LEGAL_BASIS,,"WEEE obligations depend on scheme participation; add anchors per profile."
DECOM_112,NO_LEGAL_BASIS,,"Battery EPR obligations depend on EU/GR transposition; add anchors per profile."
DECOM_113,NO_LEGAL_BASIS,,"Restoration closeout governance control."
PUB_120,GR_LAW_4014_2011,Art19a,"Publication evidence record where required."
